id,name,type,distanceToArrival,gravity,earthMasses,radius,surfaceTemperature,surfacePressure,atmosphereType,terraformingState,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,updateTime,starId
7d27c583cf,Caucan 4,Icy body,1362,0.3794882659133843,0.185498,4459.1795,118,4.785623920552677,Argon-rich,Not terraformable,1747.9902340306714,2.724462105285099,0.001955,0.030732,117.045786,1.1164097413657408,false,-0.486784,2020-09-05 16:14:49,69eb6b5d04
f915f45daa,Caucan 5,Icy body,1871,0.4082693885238652,0.226161,4747.008,100,5.485949296817172,Thick Nitrogen,Not terraformable,2823.344673271528,3.750571227798431,0.000343,-3.387232,162.051969,0.7946439856018518,false,-0.11588,2020-09-05 16:14:38,69eb6b5d04
c4075ca8c4,Caucan 6,Icy body,2532,0.39723673406316623,0.255626,5116.3745,83,0.035893731783863805,Thin Neon-rich,Not terraformable,4440.903732622107,5.072659395234494,0.000249,1.258321,317.690174,0.6355666094907407,false,-0.495346,2020-09-05 16:14:53,69eb6b5d04
1124013e75,Caucan 7,Icy body,3129,0.44230903996582066,0.33589,5558.0205,74,0.14744721309647174,Neon-rich,Not terraformable,6165.2527915106475,6.312800209449372,0.009507,-0.023622,317.723164,1.3801530275231482,false,-1.446643,2020-09-05 16:14:42,69eb6b5d04
7c9abffec4,Caucan 8,Icy body,4745,0.33990646722576395,0.167488,4477.0985,91,4.707091043671355,Methane-rich,Not terraformable,10501.588936205324,9.003777893029195,0.059369,20.955486,301.317142,1.1915262873611112,false,0.160144,2020-09-05 16:15:28,69eb6b5d04
9b78be16ef,Wolf 1340 A 1,Rocky Ice world,74,0.7329294380405538,0.785488,6602.725,377,1265.6270811744387,Thick Argon-rich,Not terraformable,31.91208949795139,0.14768861432907415,0.0001,-0.000738,79.520177,31.91403716943287,false,-0.224592,2020-09-06 03:26:54,e11def4540
653697ecb4,Wolf 1340 A 2,Rocky Ice world,124,0.9044510844193067,1.326334,7723.576,274,1926.5299580557612,Thick Argon-rich,Not terraformable,69.48824213059028,0.24811387362966658,0.000183,0.079173,190.379516,69.49248467922453,true,-0.029317,2020-09-06 03:26:40,e11def4540
a12fcec307,Wolf 1340 A 3,Icy body,226,0.938665827850792,2.2572,9890.404,629,8380.902482112017,Hot thick Ammonia-rich,Not terraformable,171.04956010976852,0.45233285164723935,0.000056,0.005369,0.598741,171.06000461770833,true,-0.034331,2020-09-06 03:26:47,e11def4540
cd80f51cd4,Wolf 1340 A 4,Icy body,413,0.7838432540407816,1.464216,8717.109,116,169.52497409326426,Thick Argon-rich,Not terraformable,423.390928793831,0.8276966996730789,0.000327,-0.001299,88.258222,0.6049268204976852,false,0.390742,2020-09-06 03:26:45,e11def4540
d659a497c2,Wolf 1340 A 5,Icy body,1763,1.2596633093628729,4.425507,11954.703,47,0.8188720546558106,Helium,Not terraformable,3731.797276823611,3.5317414931138456,0.000461,0.059703,288.264671,1.3541133286342593,false,0.434713,2020-09-06 03:26:44,e11def4540
85dd13326a,Wolf 1340 A 6,Icy body,4336,1.266899736590414,4.482017,11996.378,31,0.8283085831532199,Helium,Not terraformable,14436.147003261574,8.703174561510654,0.002497,-0.137925,304.400723,0.4923486479976852,false,0.142832,2020-09-06 03:26:50,e11def4540
037007133c,Wolf 1340 B 1,Icy body,50195,0.6966741519652727,1.094719,7995.0465,44,0.22936441755736492,Neon-rich,Not terraformable,788.1030302356828,0.015221006152724606,0.164754,-2.890121,241.096512,1.870266454675926,false,-0.274031,2020-09-06 03:26:31,cd543d5fb0
5653ec89e7,Wolf 1340 B 2,Icy body,50183,0.6854148233108431,1.051109,7898.264,44,0.22201075977300766,Neon-rich,Not terraformable,788.1030302356828,0.015852509618566383,0.164754,-2.890121,61.096517,0.5708480686689815,false,0.464899,2020-09-06 03:26:29,cd543d5fb0
3f8d41b678,Wolf 1340 B 3,Icy body,50388,0.6493601180139802,0.917816,7582.624,38,0.1992681154404145,Neon-rich,Not terraformable,1595.6437284195601,1.3768548978152668,0.000109,0.005616,253.341521,1.7408411873148149,false,-0.426136,2020-09-06 03:26:35,cd543d5fb0
0b90271519,Wolf 1340 B 4,Icy body,50483,0.8859393886067426,1.948932,9459.776,35,0.39882440476683934,Helium,Not terraformable,2313.273441460417,1.7636630722451854,0.001072,0.132687,309.41095,1.4384994982407409,false,1.49716,2020-09-06 03:26:33,cd543d5fb0
c94c1d6414,Wolf 1340 B 5,Icy body,50659,0.7495055007655479,1.311949,8438.312,31,0.2654712751344683,Neon-rich,Not terraformable,3669.923378361574,2.3990294202881994,0.001264,0.118231,38.725472,1.5073154467245369,false,-0.155264,2020-09-06 03:26:36,cd543d5fb0
5cad650a33,Jastreb Sector PT-R b4-7 1,Icy body,458,0.2615702897160464,0.080807,3544.98825,47,null,No atmosphere,Not terraformable,699.8724269646181,0.9183964581665667,0.000589,-0.001444,191.198042,1.2427985462731481,false,0.038149,2020-08-30 06:30:40,9a7e84b295
41920b9a0d,Jastreb Sector PT-R b4-7 2,Icy body,612,0.31778929133291534,0.137894,4201.3375,41,0.00025515629903774984,No atmosphere,Not terraformable,1082.1174347290278,1.2280061159518227,0.002336,-0.021598,253.685045,0.5194193332175926,false,1.946334,2020-08-30 06:30:29,9a7e84b295
70ac882d15,Jastreb Sector PT-R b4-7 3,Icy body,871,0.23032524372397262,0.05653,3159.75375,34,null,No atmosphere,Not terraformable,1827.1289903809027,1.7412604910775644,0.00443,-0.013249,267.138609,0.5092949179282407,false,0.458527,2020-08-30 06:31:05,9a7e84b295
36c2452a64,Jastreb Sector PT-R b4-7 4,Icy body,1562,0.322976677047971,0.144992,4273.3745,25,0.00035305437947199603,No atmosphere,Not terraformable,4402.424864195023,3.1295287252216886,0.000017,-0.007993,324.727117,0.5748372341319444,false,0.40932,2020-08-30 06:31:09,9a7e84b295
e92f4ed340,Jastreb Sector PT-R b4-7 5,Icy body,2164,0.257895246968735,0.077673,3500.2405,22,null,No atmosphere,Not terraformable,349.00191757414353,0.0026043070333012434,0.024738,-9.722016,200.096662,0.9429704729166667,false,0.127277,2020-08-30 06:30:46,9a7e84b295
eb3bbe0a20,Jastreb Sector PT-R b4-7 6,Icy body,2160,0.2145382844634181,0.046249,2961.306,22,null,No atmosphere,Not terraformable,349.00191757414353,0.00437381722114625,0.024738,-9.722016,20.096667,0.8904787854050925,false,0.277441,2020-08-30 06:30:50,9a7e84b295
ec282fa346,Jastreb Sector PT-R b4-7 7,Icy body,2743,0.23563716020863953,0.060285,3226.0215,20,null,No atmosphere,Not terraformable,10273.668501112154,5.505980015008863,0.001782,7.361332,106.915058,1.3628989090624999,false,0.358822,2020-08-30 06:30:34,9a7e84b295
ba18060586,Jastreb Sector PT-R b4-7 8,Icy body,5045,0.3605328520147653,0.19277,4663.713,20,0.0011463312706637059,Thin Neon,Not terraformable,25685.25572617824,10.142388638612488,0.007015,-0.161927,232.799143,1.4461468852893518,false,2.207023,2020-08-30 06:30:56,9a7e84b295
9cc58404a3,V816 Herculis 1,Class I gas giant,1049,2.061169623919514,237.609436,68479.328,103,null,No atmosphere,Not terraformable,304.3875098228472,0.031126453895983158,0.140942,4.168625,173.685283,1.218812337962963,false,-1.518201,2020-09-06 22:02:53,d09c567385
3c188dcd33,V816 Herculis 2,Class I gas giant,1002,1.3135574061464679,123.552681,61856.604,89,null,No atmosphere,Not terraformable,304.3875098228472,0.05986393636037227,0.140942,4.168625,353.685278,375.2683590308912,false,-0.207876,2020-09-06 22:03:44,d09c567385
a11477ddc0,V816 Herculis 3,Class I gas giant,1360,1.1831961602728922,105.093529,60109.64,76,null,No atmosphere,Not terraformable,186.37054772288192,0.020449493232613906,0.196944,-8.235827,108.783487,295.6801068822685,true,-0.068165,2020-09-06 22:02:22,d09c567385
d00a5861ef,V816 Herculis 4,Class I gas giant,1349,1.0585317913126768,69.282074,51599.204,72,null,No atmosphere,Not terraformable,186.37054772288192,0.031022651089021816,0.196944,-8.235827,288.783482,-240.0622961788889,false,1.867976,2020-09-06 22:02:17,d09c567385
10bdcf7087,V816 Herculis 5,Icy body,1908,1.6478645080381131,7.93317,13994.17,51,1.4076697816432273,Helium,Not terraformable,4180.595347726736,3.826293353033333,0.000884,1.46925,327.239274,1.7951069558912038,false,0.396409,2020-09-06 22:03:34,d09c567385
d7dfd4e0a8,HU Delphinus A 1,Class I gas giant,4518,3.4175123756520054,408.642761,69743.12,84,null,No atmosphere,Not terraformable,9821.149141148264,5.574162284418798,0.68071,135.058299,106.628385,1.7145056958101854,false,-0.142497,2020-09-01 18:39:31,fb87a5e0ab
5775f65953,Guangul 1,High metal content world,247,0.8862884517596648,0.580879,5163.448,863,24.650804342462372,Hot thick Carbon dioxide,Not terraformable,118.02026657042825,0.49426203300029325,0.000056,-0.000357,217.779018,118.02205733659723,false,-0.366139,2020-09-06 20:44:43,ccad71cf21
526191666b,Guangul 2,High metal content world,369,1.1417369311438141,1.084114,6214.969,901,176.653461633358,Hot thick Carbon dioxide,Not terraformable,216.2837733825,0.7401768304902752,0.000081,0.027305,25.010387,2.3976918952777777,false,-2.917995,2020-09-06 20:45:15,ccad71cf21
df9c492e40,Guangul 3,High metal content world,804,1.0543015735636583,0.898565,5888.1225,454,7.069279546015298,Thick Water-rich,Not terraformable,694.5574173220833,1.611109107740863,0.000527,-0.027241,223.937003,2.0694323886921295,false,0.758528,2020-09-07 19:27:19,ccad71cf21
90efd59eae,Guangul 4,Rocky Ice world,1200,0.6770271837157374,0.519463,5586.744,187,264.19831236121394,Thick Argon-rich,Not terraformable,1268.277358677662,2.406923841142346,0.002486,0.059335,276.225264,1.3264200616666666,false,0.196335,2020-09-06 20:44:58,ccad71cf21
8d4179bbb0,Guangul 5,Icy body,1971,1.0550876658556798,2.796813,10384.174,622,12497.969267209475,Hot thick Methane-rich,Not terraformable,2670.733879009838,3.9543339209846784,0.003778,-0.005276,209.066722,1.069968695972222,false,-2.252094,2020-09-06 20:44:15,ccad71cf21
de778cec08,Guangul 6,Icy body,2909,0.8686153296864378,1.88374,9392.501,97,5.3084955588452996,Thick Argon-rich,Not terraformable,4742.556975947454,5.798663465840026,0.005518,0.820023,103.894011,1.3348761132523148,false,-0.272881,2020-09-06 20:44:31,ccad71cf21
216a4b6171,Gonzalez's Grave,Rocky body,196,0.45697554626617065,0.12,3268.35075,332,0,No atmosphere,Not terraformable,95.9999997306713,0.39200027108124474,0,0.1,356.348956,99.92383946151621,false,-0.522992,2020-09-08 12:57:30,f23cd8a391
2245888f0d,New America,Earth-like world,489,1.0839018444826547,1.006,6144.528,299,7.235431778929188,Thick Suitable for water-based life,Terraformed,394.9828376924537,0.9800006876639321,0,535.499996,59.817858,1.1402532498842592,false,-0.389174,2020-09-08 12:57:30,f23cd8a391
cb8a777764,V388 Cassiopeiae ABC 1,Class I gas giant,20938,1.6544485523799624,20.07938,22219.436,12,null,No atmosphere,Not terraformable,155589.1983487037,45.96853725071502,0.065783,64.182792,338.991598,1.5820612454166665,false,-0.329953,2020-09-07 20:03:39,bebe4a56df
a4c43a811b,44 chi Draconis 1,Icy body,16715,1.3077174921946768,4.188815,11414.927,60,0.7526980785886997,Helium,Not terraformable,28213.949667083332,19.478265947612183,0.745692,-98.929908,153.72356,0.7880425101041667,false,-0.198907,2020-09-07 18:41:47,9bd065934c
c93b2a691c,Hyroks 1,High metal content world,548,0.4216162697478464,0.0788,2757.33125,187,0.010920740853688627,Thin Carbon dioxide,null,498.64854663609947,1.0984289136057204,0.000168,0.062583,38.618566,0.8650770415277779,false,-0.467672,2020-09-04 21:26:15,de01f659aa
14887aaad3,Hyroks 2,Rocky Ice world,740,0.258192623217276,0.032086,2248.3835,126,null,No atmosphere,null,782.2946610826042,1.483050291583796,0.000489,-0.393208,222.097046,0.8410856953240741,false,-0.372013,2020-09-04 21:26:15,de01f659aa
4df942b899,Hyroks 3,Rocky Ice world,989,0.29542590556242315,0.047022,2544.54875,109,0.01443652006908463,Thin Argon,null,1210.0656275395834,1.9835729971202727,0.001412,-0.014134,210.881432,1.4918137100694444,false,-0.194653,2020-09-04 21:26:15,de01f659aa
8630097f41,Hyroks 4,Icy body,2616,0.3596706423039788,0.193872,4682.627,67,0.006406683710831483,Thin Neon-rich,null,5208.2577927245375,5.2485241676554155,0.001078,2.531687,336.11464,1.7460321267708332,false,-0.162687,2020-09-04 21:26:15,de01f659aa
ac5f8eafcc,Hyroks 5,Icy body,3618,0.37235860386795494,0.213006,4823.916,57,0.00155383837157661,Thin Neon,null,8460.893744119909,7.253034271582718,0.001064,2.354863,208.010723,1.7484959429976852,false,0.337688,2020-09-04 21:26:15,de01f659aa
84d2de7d24,Popov Reward,Rocky body,1083,0.16843103318746147,0.007,1300.236875,438,null,No atmosphere,null,361.999993522963,2.1710015539596847,null,351.999997,122.757569,1.8172919335300928,false,-0.027633,2020-09-04 13:31:07,1840455cb0
73aa801367,Vega 2 a,Rocky body,1808,0.22771747605070172,0.019749,1878.27375,426,null,No atmosphere,null,0.8362423490625001,0.004955051501845273,0.000639,-0.000009,65.992267,0.8362584005671296,false,-0.122106,2020-09-04 13:31:07,81c5f8cb2d
2e4ac6a488,Vega 2 b,Rocky body,1809,0.20309710797658448,0.0142,1686.463,405,null,Sulphur dioxide,null,1.9137248120949075,0.008604911160775632,0.000218,-0.644575,314.190222,1.9137613829282407,true,0.487455,2020-09-04 13:31:07,81c5f8cb2d
f9263ef980,Vega 2 c,Rocky body,1807,0.34005660509704755,0.061814,2719.27,394,null,No atmosphere,null,3.4221978513194444,0.012677399903361058,0.000082,0.019648,69.360581,3.4222634634490743,false,0.39336,2020-09-04 13:31:07,81c5f8cb2d
41715b5b90,Vega 2 d,Rocky body,1802,0.3493010932622397,0.066499,2782.86475,380,null,No atmosphere,null,7.985432804733796,0.022302781809805532,0.000133,-0.111388,354.686461,7.985585298344907,true,-0.09173,2020-09-04 13:31:07,81c5f8cb2d
adfb5c9e91,Vega 2 e,Rocky body,1812,0.26239330502362734,0.029648,2143.9065,373,null,No atmosphere,null,13.888056769409722,0.03225430895782396,0.001282,-0.974445,132.227312,13.888322189004631,false,0.135053,2020-09-04 13:31:07,81c5f8cb2d
bc78f105c2,Tracy's Havan,Earth-like world,3752,1.3547745859182163,1.73,7207.324,311,2.1569322107081175,Suitable for water-based life,Terraformed,747.9999973266204,7.519005058473736,null,2.7,299.320616,1.6115212823032408,false,-0.340957,2020-09-04 21:59:13,81c5f8cb2d
75c655f96a,Vega 4,Class I gas giant,11472,1.6761166375837235,20.327206,22211.16,138,null,No atmosphere,null,20010.934935675927,21.290761019342504,0.343165,16.986277,354.462878,1.6824084319791668,false,0.378996,2020-09-04 13:31:07,81c5f8cb2d
c5d789bfc1,G 203-47 1,High metal content world,7,1.3716550422489882,1.703707,7108.198,1209,262.0548729336294,Hot thick Carbon dioxide,null,0.9493758488078703,0.013679169823984667,0.000003,-0.001164,123.82398,0.9048807937152777,true,-0.136684,2020-09-07 03:46:26,1b4a78f01f
2223891880,G 203-47 2,Earth-like world,13,1.3589624939872333,1.666385,7062.6625,335,1.2542726838193932,Suitable for water-based life,Terraformed,1.8434427264699076,0.0002854995545489405,0.104394,9.965666,132.390414,19.446843929467594,false,0.466026,2020-09-07 03:48:29,1b4a78f01f
7745d5155b,G 203-47 3,Earth-like world,12,1.274341129539975,1.428176,6752.0015,334,1.253792098445596,Suitable for water-based life,Terraformed,1.8434427264699076,0.0003331187934179467,0.104394,9.965666,312.390409,31.987551645555552,true,-0.199511,2020-09-07 03:48:04,1b4a78f01f
0139a2d897,G 203-47 4,Water world,21,1.0842772522011939,3.148268,10868.014,325,1585.9181051073278,Thick Argon-rich,null,5.192257118993055,0.04246245528491402,null,-0.00004,87.236894,5.149587452847222,true,-0.27534,2020-09-07 03:44:32,1b4a78f01f
901e5f5225,G 203-47 5,Icy body,35,0.8991621474096481,2.031376,9586.513,206,701.0994719960523,Thick Argon-rich,null,11.247124040011574,0.07108783798518999,null,0.000051,343.83774,11.238540278657407,true,0.473401,2020-09-06 16:39:28,1b4a78f01f
2430ad5f16,G 203-47 6,Class III gas giant,1604,15.796677436586474,2073.415527,73070.96,444,null,No atmosphere,null,191.35275096805555,0.004763480283544904,0.107389,4.5552,160.146216,0.6480813683796296,false,-0.697537,2020-09-06 16:39:28,1b4a78f01f
74c6ae20ce,G 203-47 7,Class I gas giant,1572,1.0627012601952415,84.847298,56989.904,47,null,No atmosphere,null,191.35275096805555,0.11640720527563633,0.107389,4.5552,340.146211,-260.30489234224535,false,-3.067257,2020-09-06 16:39:28,1b4a78f01f
b9f8464677,G 203-47 8,Class I gas giant,2324,1.134531075623602,92.65937,57639.604,29,null,No atmosphere,null,276.95599667452547,0.05987753685174211,0.057662,2.962471,272.658525,326.20524557722223,false,0.423905,2020-09-06 16:39:28,1b4a78f01f
0d1ef42405,G 203-47 9,Class I gas giant,2311,2.3486708540539722,239.261383,64373.888,47,null,No atmosphere,null,276.95599667452547,0.02318874016969949,0.057662,2.962471,92.658531,2.626673603449074,false,1.22596,2020-09-06 16:39:28,1b4a78f01f
95a3765de9,G 203-47 10,Icy body,4069,2.12815875447169,13.645735,16150.314,20,2.0730398778682457,Helium,null,13701.986797429397,8.10880141326771,0.006367,-6.731869,151.657251,1.4549731939814814,false,-0.265915,2020-09-06 16:39:28,1b4a78f01f
12a63220da,Korwei 1,Earth-like world,218,0.42872107767248724,0.083268,2810.84025,289,2.3063941833209967,Suitable for water-based life,Terraformed,134.60893597868056,0.4367516848801645,0.000033,-0.000743,164.135525,134.60934010453704,false,0.071809,2020-08-30 06:25:29,7f33745e54
802beb2155,Korwei 2,High metal content world,283,0.41465450170820617,0.075882,2728.41675,189,0.0023444671206513694,Thin Sulphur dioxide,null,198.84407520293982,0.5664919656243276,0.000026,-0.007573,291.004625,2.5098613647685184,false,0.123829,2020-08-25 18:53:17,7f33745e54
b6bcfedb5c,Korwei 3,Icy body,398,0.22534484337759098,0.040969,2719.49575,336,17.47539970392302,Thick Carbon dioxide,null,332.0628432212037,0.7973803338347248,0.001296,0.050015,21.907569,0.7718142349652778,false,0.0099,2020-08-25 18:53:17,7f33745e54
c1c0b823e2,Korwei 4,Icy body,512,0.2723983559345635,0.069964,3232.359,124,0.004966849158647915,Thin Argon,null,484.17099234130785,1.0253005038744847,0.000986,0.030758,112.574075,1.1995412691666667,false,0.282651,2020-08-25 18:53:17,7f33745e54
3a567819dd,Korwei 5,Icy body,641,0.2435540232965455,0.051056,2920.18425,111,0.00026634366641993583,No atmosphere,null,678.7868975489237,1.2843230672720398,0.001468,0.0958,144.667402,1.8583023265509258,false,-0.254204,2020-08-25 18:53:17,7f33745e54
07999e4247,Korwei 6,Icy body,863,0.42518808245700934,0.307187,5421.1995,96,0.11043767733530718,Neon-rich,null,1059.7707634722801,1.728462522330139,0.000012,0.113721,190.211353,2.0031432300694445,false,-0.136493,2020-08-25 18:53:17,7f33745e54
2e4a0f313d,Korwei 7,Icy body,1203,0.27768400394788717,0.096025,3750.60425,81,0.0184936276437207,Thin Argon-rich,null,1746.155735519213,2.411241175385393,0.000131,-0.00159,100.954895,1.6756806584259258,false,-0.128398,2020-08-25 18:53:17,7f33745e54
e5087c046e,Korwei 8,Icy body,1546,0.3163380837190251,0.13773,4208.4585,162,7.98895694547249,Thick Methane,null,2540.012752568287,3.0955842335765276,0.004502,0.294193,35.692738,0.5224910602314815,false,0.323851,2020-08-25 18:53:17,7f33745e54
b3f099717a,Korwei 9,Icy body,2037,0.28534606357482667,0.103572,3842.552,87,3.3149707007155196,Methane-rich,null,3878.245061194444,4.104644113198063,0.007873,0.59366,349.620919,1.7607836220486113,false,-0.280479,2020-08-25 18:53:17,7f33745e54
2e9d715edb,Iota Persei 1,High metal content world,459,1.4849752370318705,2.095916,7577.254,1231,1315.0360917838639,Hot thick Carbon dioxide,null,19.36022675148148,0.0012787623449107021,0.044968,9.363226,256.649368,26.523597527280092,true,-0.374775,2020-08-05 15:32:17,7d3a555e77
35b6bfd503,Iota Persei 2,High metal content world,458,1.2800307655590897,1.46452,6822.161,1132,635.606138662719,Hot thick Carbon dioxide,null,19.36022675148148,0.001829962748371926,0.044968,9.363226,76.649373,25.23367198931713,true,0.329712,2020-08-05 15:30:51,7d3a555e77
efb4610f0f,Iota Persei 3,Class III gas giant,787,21.69906963507433,2615.367188,70021.32,797,null,No atmosphere,null,67.19350883806713,0.0025556163976456917,0.010734,-5.337497,344.720873,2.055516899837963,false,-0.186319,2020-07-24 12:14:16,7d3a555e77
d606acb1ea,Iota Persei 4,Class III gas giant,819,1.1442468725130992,106.755066,61605.416,273,null,No atmosphere,null,67.19350883806713,0.06260603806589675,0.010734,-5.337497,164.720879,68.5512349495949,true,0.261602,2020-07-24 12:14:16,7d3a555e77
56ca2090e2,Iota Persei 5,Class III gas giant,1363,7.668113658119539,1102.960815,76492.752,368,null,No atmosphere,null,1431.157467541898,2.72757501810258,0.001401,-0.028249,128.465207,0.9433145205439815,false,-1.039034,2020-07-24 12:14:16,7d3a555e77
d2d9c508fc,Iota Persei 7,Water world,1917,2.891613618828336,23.948061,18354.796,370,6690.139018011349,Thick Argon-rich,null,410.05783196952547,0.3025565110927545,0.19313,7.300987,38.871959,1.3603486639467592,false,-0.513331,2020-09-02 23:20:27,f628ff8619
1d4d9ce3f4,Iota Persei 8,Class III gas giant,3504,16.598993993389264,2095.026611,71653.664,537,null,No atmosphere,null,5899.146061252662,7.0120424097085765,0.003172,0.121108,188.41904,1.0188220763541667,false,0.320106,2020-07-24 12:14:16,f628ff8619
7d49d78fa3,New California,Earth-like world,61,0.7167831301340336,0.349,4450.444,261,0.7784699605230694,Suitable for water-based life,Terraformed,27.863637854652776,0.12000007778003755,0.044676,0.223762,25.125008,27.86368739502315,true,0.048628,2020-09-08 16:13:29,6e7ab0c79b
247973f45d,V374 Pegasi A 1,High metal content world,7,1.2958747389109082,1.497905,6857.1735,1235,230.85485319516408,Hot thick Carbon dioxide,null,1.0331603525925925,0.014043456604692837,0.000001,0.000359,266.624528,0.978512815300926,true,-0.332436,2020-08-26 15:44:54,322f5e15e2
3e2a2e1d40,V374 Pegasi A 2,Icy body,479,1.6166011315969466,7.586583,13816.759,45,1.351116302738712,Helium,null,583.9706502026968,0.9600404973589641,0.000112,0.258958,54.648316,1.747528420023148,false,0.269644,2020-08-24 22:58:07,322f5e15e2
6b5e316c56,V374 Pegasi A 3,Class I gas giant,3061,3.5275690606662087,493.289368,75421.928,91,null,No atmosphere,null,9487.052068666204,6.158142322440957,0.014679,-0.054025,314.202219,1.9635183192245371,false,-2.712362,2020-08-24 22:58:07,322f5e15e2
b523fbcee7,V374 Pegasi A 4,Class I gas giant,5608,2.1048721955980048,256.91153,70463.376,48,null,No atmosphere,null,22836.629715230323,11.060723618653082,0.020983,9.568812,350.647432,1.0457793567592593,false,-0.302558,2020-08-24 22:58:07,322f5e15e2
89632d5b3a,V374 Pegasi B 1,Rocky Ice world,152216,0.6769918975873348,0.716769,6562.6975,91,122.93260301011597,Thick Nitrogen,null,440.03911316394675,0.7349726254770818,0.000126,-0.002758,112.724957,2.3875990129166667,false,0.445902,2020-08-24 22:58:07,9f55788e04
c1c7405a5c,V374 Pegasi B 2,Rocky Ice world,153207,0.8362136596743127,1.16676,7533.8445,59,0.21432829462620281,Neon-rich,null,43.09608704513889,0.001325642184808851,0.000685,-7.198449,116.646077,-76.28324769967593,false,-1.594828,2020-08-24 22:58:07,9f55788e04
587e577761,V374 Pegasi B 3,Rocky Ice world,153203,0.6093977521684579,0.546963,6042.45,83,1008.7690895632865,Thick Argon-rich,null,43.09608704513889,0.0028278064360363255,0.000685,-7.198449,296.646071,52.22969135224537,false,0.023562,2020-08-24 22:58:07,9f55788e04
06a637eaeb,V374 Pegasi B 4,Icy body,153413,0.7855624099116905,1.475485,8741.009,51,0.29215417206020233,Neon-rich,null,1668.8102235396989,1.7873718743270188,0.000675,0.004512,225.930695,1.2354460094791666,false,0.219845,2020-08-24 22:58:07,9f55788e04
02f0e227f1,V374 Pegasi B 5,Icy body,151449,0.7209928510304658,1.19494,8210.925,44,0.24610026523562792,Neon-rich,null,2508.910441840162,2.3456711087443973,null,0.022686,192.265522,1.8069493229861113,false,0.199295,2020-08-24 22:58:07,9f55788e04
432673a3c8,V374 Pegasi B 6,Icy body,150974,0.6053668633873963,0.770171,7193.9725,38,0.15610165309647175,Neon-rich,null,3952.878630823611,3.176040094798488,0.000382,0.134608,104.249133,1.5751232613425927,false,-0.44307,2020-08-24 22:58:07,9f55788e04
