id,name,type,distanceToArrival,gravity,earthMasses,radius,surfaceTemperature,surfacePressure,atmosphereType,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,updateTime,planetId
6a4548033d,V374 Pegasi A 4 a,Icy body,5608,0.06534369527890975,0.001941,1099.247375,20,null,No atmosphere,22.148884556909724,0.014157569249494004,0.000126,0.050749,39.023801,22.150638408425927,false,0.208293,2020-08-24 22:58:07,b523fbcee7
583aae44b0,V374 Pegasi A 4 b,Icy body,5615,0.06309455513085944,0.001751,1062.506625,20,null,No atmosphere,32.67784361486111,0.01834804379863944,0.000253,-0.100997,260.137832,32.68043311604167,true,0.361397,2020-08-24 22:58:07,b523fbcee7
0c3c9088ad,V374 Pegasi A 4 c,Icy body,5613,0.0607225568743448,0.001564,1023.5943125,20,null,No atmosphere,45.598387304282404,0.02291151565851532,0.000339,-0.506895,119.422852,45.602000071296295,true,-0.257115,2020-08-24 22:58:07,b523fbcee7
2c7bfaffa5,V374 Pegasi A 4 d,Icy body,5621,0.09737689855917757,0.006271,1618.545625,20,null,No atmosphere,86.70114808612269,0.03516446667789036,0.000324,-0.04486,230.911631,86.70801990578704,true,0.005684,2020-08-24 22:58:07,b523fbcee7
d0612d2b99,V374 Pegasi A 4 e,Icy body,5592,0.08242893553081185,0.003847,1377.862125,20,null,No atmosphere,114.49662140673611,0.042326845616196325,0.005906,0.000278,161.435705,114.50568924368055,true,-0.065138,2020-08-24 22:58:07,b523fbcee7
51f54a543f,V374 Pegasi A 4 f,Icy body,5621,0.10431435821789158,0.007666,1729.0075,20,null,No atmosphere,176.44857504853007,0.056471964250345445,0.000292,-0.041716,204.058052,2.559816260671296,false,-0.306086,2020-08-24 22:58:07,b523fbcee7
a1c95b840b,V374 Pegasi A 4 g,Icy body,5574,0.1043574857589053,0.007675,1729.664625,20,null,No atmosphere,253.20774703114583,0.07184648522724595,0.000083,0.054216,125.169698,0.9119874940509259,false,-0.308031,2020-08-24 22:58:07,b523fbcee7
c89df51563,V374 Pegasi A 4 h,Icy body,5659,0.07896379216564768,0.003392,1321.8995,20,null,No atmosphere,445.8309668633681,0.10476131588401678,0.003068,-0.163835,159.72925,0.5032995803935185,false,0.172621,2020-08-24 22:58:07,b523fbcee7
1f76dc6ed2,V374 Pegasi A 4 i,Icy body,5614,0.07476428081093184,0.002889,1253.75075,20,null,No atmosphere,620.9784911738541,0.13065875119123604,0.002174,0.042862,9.935473,1.2193405340162036,false,-0.312666,2020-08-24 22:58:07,b523fbcee7
6e74e432b2,V374 Pegasi A 4 j,Icy body,5525,0.07693582091915124,0.003142,1288.912125,20,null,No atmosphere,1008.8143594287037,0.18056280487686782,0.049587,7.278816,273.45846,1.2467606764583332,false,-0.34261,2020-08-24 22:58:07,b523fbcee7
4d7fa39cae,V374 Pegasi B 7 a,Icy body,151586,0.25808079557979746,0.109048,4145.8685,34,0.000009877947199605231,No atmosphere,183.51837578746526,0.013129147386034955,null,24.462258,172.128458,186.96529841547454,true,-0.11117,2020-08-24 22:58:07,f1c5d091a6
ec262274b5,Ross 860 A 4 a,Rocky body,50,0.14584325060937184,0.005037,1185.297375,981,68.87715272637553,Hot thick Sulphur dioxide,1.7190329316550927,0.0001899565748179663,null,21.918043,261.810344,1.7626573299421298,false,-0.21289,2020-08-21 18:57:21,e51631de23
bf100916d9,Gold,Rocky body,1204,0.18361955235593547,0.009,1412.03775,165,null,No atmosphere,16.999999406157407,0.006000004327277567,null,5.4,289.809769,16.158272777916668,true,0.285956,2020-09-06 22:40:06,6d0ad0a372
66ebb5165d,LHS 3549 B 2 a,Rocky body,312,0.06922772308712305,0.000559,573.126375,402,null,No atmosphere,0.39345139155092596,0.00003853891373700548,null,35.311917,120.865566,0.40032465591435185,false,0.327064,2020-08-31 11:31:35,920fb1246b
a5ffd6c137,LHS 3549 B 3 a,Rocky body,325,0.0837224091549136,0.000982,690.747625,352,null,No atmosphere,0.34134008542824074,0.00003862895667962205,null,-9.914696,2.290125,0.3492337035648148,false,0.457123,2020-08-31 11:31:35,341583bedd
7f6767787b,Ross 318 1 a,Icy body,900,0.06460309954594932,0.001873,1085.99225,48,null,No atmosphere,7.141495537430555,0.006269625472505538,0.000449,0.554522,102.143041,7.141739151886575,false,-0.307063,2020-09-04 17:20:03,68e9d5e49e
5ce4ab7278,Ross 318 1 b,Icy body,897,0.08039970615709296,0.00357,1343.975625,47,null,No atmosphere,11.7808359640625,0.008753187395221395,0.001319,0.763545,168.502256,11.781237137407407,false,0.405311,2020-09-04 17:20:05,68e9d5e49e
dc1888eeb3,Ross 318 1 c,Icy body,904,0.06840204652072022,0.002217,1148.240375,46,null,No atmosphere,30.93494654253472,0.016660258877772918,0.00002,-0.473598,57.144822,30.93599675423611,true,0.468199,2020-09-04 17:20:08,68e9d5e49e
d93fa585ca,Ross 318 1 d,Icy body,902,0.07824819153532722,0.003295,1308.805375,46,null,No atmosphere,58.19974260197917,0.02539000928152382,0.001387,-5.414619,344.910889,58.201725565625004,false,0.418312,2020-09-04 17:20:14,68e9d5e49e
8b19bc9fd5,Ross 318 2 a,Icy body,1171,0.035727783910005896,0.000323,606.432875,44,null,No atmosphere,2.8403201312962967,0.0034207672209627246,0.000302,-0.060315,42.841556,2.681596022141204,false,-0.024054,2020-09-04 17:21:23,ef99f11f97
8f0d918b4a,Ross 318 2 b,Icy body,1171,0.03267610455198787,0.000249,556.7613125,43,null,No atmosphere,3.9074692047337964,0.004231317858660872,0.000002,-0.23136,170.542071,3.7313760199189816,true,-0.066008,2020-09-04 17:21:36,ef99f11f97
1ca3cd4212,Ross 318 2 c,Icy body,1167,0.03983248102742699,0.000448,676.4019375,43,null,No atmosphere,7.0107769634953705,0.006247736231694841,0.000083,0.494234,144.249989,6.798402723344908,true,0.113797,2020-09-04 17:21:09,ef99f11f97
a7c53df5db,Ross 318 2 d,Icy body,1162,0.06429145646879898,0.001828,1075.46425,41,null,No atmosphere,28.104072229733795,0.015766119106137788,0.006472,-0.9245,95.528617,27.77966555390046,false,-0.483218,2020-09-04 17:21:32,ef99f11f97
39401e1f2f,Ross 318 2 e,Icy body,1160,0.056184010994402345,0.00124,947.5213125,41,null,No atmosphere,42.896766077592595,0.020900737893547437,0.008243,-0.449666,47.32817,42.53244287712963,false,0.420298,2020-09-04 17:21:30,ef99f11f97
f9b6aa0c46,Ross 318 2 f,Icy body,1166,0.06431502277125267,0.001849,1081.425875,41,null,No atmosphere,62.438251657615744,0.026843907586234114,0.000566,0.054931,170.16748,62.042017159247685,true,-0.27209,2020-09-04 17:21:17,ef99f11f97
e6e4f286a7,Ross 318 3 a,Icy body,1541,0.05477655818187476,0.00115,924.136375,35,null,No atmosphere,1.0296535091782406,0.0011087169173484767,0.00043,-0.006436,87.299417,1.0297468993865742,false,-0.506102,2020-09-04 17:20:42,7a93bbe024
e9533cfe58,Ross 318 3 b,Icy body,1542,0.0984960701150174,0.006465,1634.027375,35,null,No atmosphere,1.7774791491203703,0.0015954980864309855,0.001073,0.019089,175.375704,1.7776403078356482,false,-0.202391,2020-09-04 17:20:39,7a93bbe024
a9a3cc9e70,Ross 318 4 a,Icy body,1525,0.03139837358616079,0.00022,533.8783125,34,null,No atmosphere,2.4578973512962965,0.001000000721212939,0.006609,-3.046773,245.943607,2.4580101036689816,false,-0.197724,2020-09-04 17:20:49,db28eef323
16ed89effe,Ross 318 4 b,Icy body,1528,0.03566909331566242,0.000321,605.049625,34,null,No atmosphere,5.4361782278124995,0.001697540897770813,0.0045,-0.254627,319.798736,5.436428554733797,true,0.48691,2020-09-04 17:20:53,db28eef323
ba4159accf,Ross 775 ABCD 1 a,Icy body,1870,0.10161383694791772,0.006133,1566.911875,491,480.1305896866519,Thick Carbon dioxide,1.772733198275463,0.005651398811518378,0.000305,0.035714,109.792139,1.7727771999189816,true,-0.36047,2020-09-08 13:03:44,df126c05ba
83dd5c4a9c,Ross 775 ABCD 1 b,Icy body,1872,0.10947652017282623,0.007625,1683.231875,120,null,No atmosphere,2.932059613090278,0.00790391549918765,0.001565,0.01004,51.659419,2.9321326185069445,true,0.109199,2020-09-08 13:03:44,df126c05ba
4599f4fc16,Ross 775 ABCD 1 c,Icy body,1868,0.10454482410624728,0.006665,1610.398375,111,null,No atmosphere,4.262774492858797,0.010143518593014305,0.000239,0.028509,144.42017,4.2628805200578705,false,-0.172088,2020-09-08 13:03:44,df126c05ba
5c0c8a07de,Ross 775 ABCD 1 d,Icy body,1864,0.11457174179455552,0.010071,1890.95875,95,null,No atmosphere,10.080183614733796,0.018004151579283142,0.002075,-0.075545,79.865279,10.080434347650462,true,-0.399691,2020-09-08 13:03:44,df126c05ba
db1c234f2d,Ross 775 ABCD 1 e,Icy body,1876,0.20644639950085106,0.054616,3280.50575,84,0.009259258791018998,Thin Argon,20.795988815798612,0.02917741044870367,0.000732,-0.023716,300.012135,20.79650475403935,true,-0.388637,2020-09-08 13:03:44,df126c05ba
3366116704,Ross 775 ABCD 3 a,Icy body,2201,0.044724389675531384,0.000637,761.170625,48,null,No atmosphere,0.8865484415972223,0.0014031286884218332,0.000397,0.20051,262.85759,0.8865683026273148,false,-0.480396,2020-09-08 13:03:44,12fcdb9988
4156debe0d,Ross 775 ABCD 3 b,Icy body,2202,0.08069177616746677,0.00364,1354.629625,48,null,No atmosphere,1.4467063463425924,0.001944835084308456,0.000086,0.010821,252.621114,1.4467386153935184,false,-0.019691,2020-09-08 13:03:44,12fcdb9988
0dd00ffe63,Ross 775 ABCD 4 a,Icy body,2930,0.05069628439111439,0.000911,854.979375,37,null,No atmosphere,0.8388681061342593,0.0013222787376725676,null,0.010125,262.737054,0.8389028727777778,false,1.481874,2020-09-08 13:03:44,188a756e4d
fe3365b812,Ross 775 ABCD 4 b,Icy body,2932,0.03210990439904294,0.000236,546.7905625,36,null,No atmosphere,1.9575656840046296,0.002326330759787746,0.000011,-0.001956,193.031234,1.9576467443055554,true,0.14017,2020-09-08 13:03:44,188a756e4d
90b73f7ed3,Ross 775 ABCD 4 c,Icy body,2932,0.06413595857193147,0.001837,1079.414625,34,null,No atmosphere,35.922105803530094,0.016184593894104805,0.00315,-1.852378,266.281287,35.92359445001158,false,-0.417335,2020-09-08 13:03:44,188a756e4d
ad9a564a52,Ross 775 ABCD 4 d,Icy body,2929,0.060963603745035184,0.001581,1027.1056875,33,null,No atmosphere,80.99593291128473,0.02782932703478045,0.002831,-0.154701,41.968627,80.99928885315971,true,-0.139447,2020-09-08 13:03:44,188a756e4d
bc350da595,Ross 775 ABCD 4 e,Icy body,2913,0.06504199458173912,0.001914,1094.103875,33,null,No atmosphere,202.69788111800926,0.05129716634029872,0.003207,-0.038994,288.738126,2.4567972129861113,false,-0.451928,2020-09-08 13:03:44,188a756e4d
60d43f4b15,Jubach,Rocky body,490,0.17633211614952105,0.008,1358.513,107,null,No atmosphere,10.047755790532406,0.001000000721212939,0.000299,0.230738,154.064223,10.140363903738427,true,-0.092397,2020-09-05 12:02:11,72eeaf56f4
d7de32850d,Acihaut 6 a,Icy body,3719,0.24902189014618983,0.098476,4010.7995,34,0.000009179916111522328,No atmosphere,978.0174880116087,0.03836241892336506,null,-43.970142,19.242781,1.1521445080208335,false,-0.013131,2020-09-05 12:02:11,67158c98f3
dfcad708b3,Anlave 9 a,Rocky body,1779,0.06500258799837971,0.000499,558.8168125,152,null,No atmosphere,2.4904837762847225,0.005679735764990337,0.001356,-0.008943,141.95648,2.4904912392824077,false,0.056235,2020-09-03 04:15:21,2c5c83c4eb
2d859955d9,Anlave 9 b,Rocky body,1779,0.07781681572752024,0.000851,666.979625,161,0.011260087293362942,Thin Carbon dioxide,6.042863138842592,0.010255751035127533,0.000039,0.170096,274.499716,6.042881650509259,true,0.295842,2020-09-03 04:15:21,2c5c83c4eb
99ad6cd34b,Anlave 9 c,Rocky body,1784,0.06071180364268803,0.000406,521.56803125,151,0.006762898307426598,Thin Carbon dioxide,10.213678012847222,0.014552147653386352,0.000034,-0.108884,339.00047,10.21370963136574,true,0.27057,2020-09-03 04:15:21,2c5c83c4eb
58277d25fb,Anlave 9 d,Rocky body,1783,0.061569621464626634,0.000424,529.2784375,131,null,No atmosphere,16.11865987931713,0.01972535940388622,0.004189,-0.003184,296.13739,16.118709529907406,false,0.211281,2020-09-03 04:15:21,2c5c83c4eb
cb6fce4e0b,Anlave 9 e,Rocky body,1785,0.0697278071656212,0.000614,598.502125,127,null,No atmosphere,26.959571987395833,0.027793781282999235,0.000706,-4.039816,346.004727,26.959647115949075,false,-0.305811,2020-09-03 04:15:21,2c5c83c4eb
b737e1193a,Anlave 9 f,Rocky body,1781,0.1087993879106246,0.002288,924.909625,123,null,No atmosphere,59.84147044795139,0.0472941199894037,0.030609,-3.327858,351.009412,36.77569149079861,false,0.494449,2020-09-03 04:15:21,2c5c83c4eb
ff36b2125a,Anlave 10 a,Icy body,3270,0.10092975516160073,0.006964,1675.345125,229,50.76093757710338,Thick Carbon dioxide-rich,2.5930210810069445,0.002587493064765861,0.000283,0.181953,169.188522,2.5931572813773145,false,0.016344,2020-09-03 04:15:21,d3861f4d58
c0724ee593,Anlave 10 b,Icy body,3270,0.08485262705219443,0.004134,1407.7875,166,4.716294719960523,Methane,6.111315555046296,0.004582455492268514,0.002973,0.775706,210.746925,6.11163682736111,false,0.608702,2020-09-03 04:15:21,d3861f4d58
1b9ff0bcf9,LHS 71 A 2 a,Icy body,2108,0.13818566371427796,0.01814,2310.8495,95,null,No atmosphere,0.8503069549189815,0.0020089417882805465,0.000003,-0.002285,145.774518,0.7863003148148149,false,-0.03287,2020-09-02 21:16:33,97f754d26d
db92927d78,LHS 71 A 2 b,Icy body,2108,0.12415000407188492,0.013308,2088.178125,90,null,No atmosphere,1.9199412178125002,0.003457605886015261,0.000489,0.08712,270.93657,1.835907012638889,false,-0.365562,2020-09-02 21:16:33,97f754d26d
8bd2c5faeb,LHS 71 A 2 c,Icy body,2118,0.14709753634095862,0.02172,2450.82175,81,null,No atmosphere,34.40529177034722,0.0236773856838592,0.020722,0.291362,59.652451,34.19553416886574,true,-0.015348,2020-09-02 21:32:10,97f754d26d
4c50429ddd,LHS 71 A 2 d,Icy body,2118,0.20124414361702345,0.054313,3313.407,79,0.015258336076980015,Thin Argon,84.69950821664351,0.0431688807838065,null,-60.326915,6.266234,84.44360124699074,true,0.257413,2020-09-02 21:32:10,97f754d26d
8f49e7a8c2,LHS 71 A 3 a,Icy body,2739,0.14545775991449608,0.020107,2371.3175,74,null,No atmosphere,3.55898437125,0.004528236327592863,0.000006,-0.141221,247.212427,3.5594352857638887,false,-0.072464,2020-09-02 21:32:10,3fa949fe65
2c6a8100fc,LHS 71 A 3 b,Icy body,2739,0.09923999166789486,0.006628,1648.285375,125,0.4697046555045645,Methane,14.85334709287037,0.011738012550008173,0.000004,0.100206,62.423889,14.855229507847223,true,-0.369213,2020-09-02 21:16:33,3fa949fe65
0882b16cf3,LHS 71 A 3 c,Icy body,2746,0.10284351189323732,0.007355,1705.640125,125,0.5043924639131507,Methane,25.921181810127315,0.017014332639723864,0.000395,0.355844,233.823258,25.924464345949076,false,-0.043516,2020-09-02 21:32:10,3fa949fe65
01cd12e015,LHS 71 A 3 d,Icy body,2726,0.10144093007664097,0.007067,1683.4315,123,0.4908014896422403,Methane,40.62189617090277,0.022955415741718173,0.000022,0.488122,119.871982,40.627043164282405,false,0.170921,2020-09-02 21:32:10,3fa949fe65
99cb343746,LHS 71 A 3 e,Icy body,2752,0.12758741055741,0.013713,2090.965375,129,0.773687623370343,Methane,62.898882423287034,0.030723709619214522,0.00042,-0.218566,25.035495,-62.906856607083334,false,2.778142,2020-09-02 21:16:33,3fa949fe65
2cbadeed04,LHS 71 A 3 f,Icy body,2735,0.0972730503119862,0.006252,1616.95425,121,0.45132070380458916,Methane,88.39056930608797,0.03854626441710644,0.003322,0.038642,142.665081,88.40176972274305,false,0.343295,2020-09-02 21:32:10,3fa949fe65
22aba617a2,LHS 71 A 3 g,Icy body,2764,0.09454351860349167,0.005753,1573.3155,119,0.4263757556180607,Methane,145.2624176939352,0.05368016686333291,0.001491,-2.947329,292.316889,1.2658816963194444,false,-0.314538,2020-09-02 21:32:10,3fa949fe65
f69a81ad29,LHS 71 A 4 a,Icy body,4023,0.04787623055508592,0.00077,808.8535625,60,null,No atmosphere,0.9236235516435185,0.0014114210237546516,0.000054,0.349652,227.810185,-0.8386627553125,false,3.137587,2020-09-02 21:16:33,ecf9faaa9d
77dc6ab7b1,LHS 71 A 4 b,Icy body,4022,0.051641010203574096,0.000969,873.67325,59,null,No atmosphere,1.8857263580555557,0.0022714980091531477,0.000985,0.013147,140.823276,1.7788990377777776,false,-0.096115,2020-09-02 21:32:10,ecf9faaa9d
7dd1c151ee,LHS 71 A 4 c,Icy body,4022,0.059750779859006564,0.001491,1007.5150625,59,null,No atmosphere,2.8772489340162037,0.003010543570414001,0.000073,0.151605,98.57663,2.7557913633912037,true,-0.14932,2020-09-02 21:16:33,ecf9faaa9d
64baac082a,LHS 71 A 5 a,Icy body,4057,0.10429536720072764,0.007645,1726.794875,57,null,No atmosphere,1.0854635939583335,0.0010878102109369797,0.00129,0.040006,228.105939,0.956813814837963,true,0.310686,2020-09-02 21:32:10,04ef86857e
ffdd8305ee,LHS 71 A 5 b,Icy body,4057,0.0515617910661811,0.000964,872.0854375,57,null,No atmosphere,1.6996488665046294,0.0014668389919584596,0.000593,-0.001494,247.321051,1.5513989266898147,false,0.451248,2020-09-02 21:32:10,04ef86857e
b6040d4788,LHS 71 A 6 a,Icy body,5333,0.030808422341832318,0.000208,524.06053125,48,null,No atmosphere,16.96012086337963,0.004860851514358486,0.000031,0.000228,105.988464,16.960674656608795,false,0.173499,2020-09-02 21:32:10,07dd2e1a1b
e8577b3299,LHS 71 A 6 b,Icy body,5333,0.030950171829942787,0.000212,527.862625,48,null,No atmosphere,73.31212361653935,0.012898630313031588,0.000358,-0.836103,294.767172,73.31452131025463,true,-0.081593,2020-09-02 21:16:33,07dd2e1a1b
257db74fdd,LHS 71 A 6 c,Icy body,5337,0.03677300446453365,0.000353,624.895375,48,null,No atmosphere,119.66636887303241,0.017881659103384552,0.007654,0.055955,343.825446,1.4657165805902779,false,0.138666,2020-09-02 21:32:10,07dd2e1a1b
f80e3bf4c5,LHS 71 A 6 d,Icy body,5314,0.037834358755151135,0.000385,643.386125,48,null,No atmosphere,602.0120931444328,0.05250047215503917,0.003151,4.455696,123.463958,1.0303963082060186,false,0.232335,2020-09-02 21:32:10,07dd2e1a1b
416120cb27,LHS 71 B 4 a,Icy body,302471,0.1409484081817404,0.019639,2380.75175,58,null,No atmosphere,253.70782586159723,0.009787173766150402,null,21.370904,337.614263,3.2400377626504633,false,0.006402,2020-09-02 21:16:33,aa5da59553
0669bf1801,Alphubel,Rocky body,225,0.2652368256632725,0.026,1996.890625,232,null,No atmosphere,36.892308681099536,0.0029000019958937157,0.097969,0.174852,220.354928,37.50999610809028,false,-0.091736,2020-08-30 21:52:56,7270416b3f
b9eec6ecc6,Rasmussen 3 a,Icy body,2302,0.040694281039529066,0.000476,689.797,94,0.07875646222551197,Thin Methane,9.154321625833333,0.004242308378483491,0.000592,-0.333726,66.301281,9.154587857615741,true,-0.460067,2020-08-30 21:52:56,5d14993ad1
269a004e7f,Rasmussen 3 d,Icy body,2303,0.032194188346781956,0.000237,547.2300625,90,0.049280143567727606,Thin Methane,34.55160944549768,0.010284037746268538,0.001894,0.102993,225.210069,34.552612345914355,true,0.250464,2020-08-30 21:52:56,5d14993ad1
6112841d75,Rasmussen 3 e,Icy body,2306,0.04238496733243634,0.000533,715.2241875,94,0.08491112871453245,Thin Methane,57.76813598694445,0.014486952551515829,0.000047,1.654248,270.244487,-57.769816937523146,false,-2.630411,2020-08-30 21:52:56,5d14993ad1
